KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001142001,T001142002,T001142003,T001142004,T001142005,T001142006,T001142007,T001142008,T001142009,T001142010,T001142011,T001142012,T001142013,T001142014,T001142015,T001142016,T001142017,T001142018,T001142019,T001142020,T001142021,T001142022,T001142023,T001142024,T001142025,T001142026,T001142027,T001142028,T001142029,T001142030,T001142031,T001142032,T001142033,T001142034,T001142035,T001142036,T001142037,T001142038,T001142039,T001142040,T001142041,T001142042,T001142043,T001142044,T001142045,T001142046,T001142047,T001142048,T001142049,T001142050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
5438476411,2,5438476414,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476412,2,5438476414,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476413,2,5438476414,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476414,1,,5438476411;5438476412;5438476413;5438476431;5438476433,33,19,14,0,0,0,48,26,22,24,13,11,48,26,22,48,26,22,24,13,11,12,6,6,4,3,1,0,0,0,0,0,0,13,13,9,8,5,2,0,0,0,15,13,2,0,17,0,6,5
5438476421,2,5438476424,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476422,0,,,4,0,4,0,0,0,4,0,4,3,0,3,4,0,4,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0
5438476423,0,,,17,6,11,2,0,2,15,6,9,10,4,6,15,6,9,15,6,9,5,2,3,2,1,1,1,0,1,0,0,0,2,0,2,7,7,2,2,2,0,1,0,0,5,4,1,1,4,2,0,0
5438476424,1,,5438476421,31,18,13,3,3,0,29,16,13,23,13,10,27,15,12,26,15,11,6,3,3,1,1,0,0,0,0,0,0,0,1,0,1,11,11,4,1,2,5,0,0,0,8,7,1,1,4,1,1,0
5438476431,2,5438476414,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476433,2,5438476414,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476511,1,,5438476514,39,18,21,11,7,4,35,14,21,25,9,16,34,14,20,33,13,20,10,5,5,4,2,2,2,1,1,0,0,0,0,0,0,10,10,2,3,2,2,2,1,1,11,8,3,2,7,0,2,2
5438476513,0,,,36,16,20,10,4,6,26,12,14,23,11,12,25,12,13,25,12,13,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1,4,2,1,2,0,1,9,8,1,3,2,0,1,1
5438476514,2,5438476511,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476521,0,,,12,7,5,2,2,0,10,5,5,10,5,5,9,4,5,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,1,1,0,0,0,4,3,1,1,0,0,0,0
5438476522,0,,,36,16,20,6,3,3,30,13,17,18,8,10,30,13,17,30,13,17,12,5,7,8,2,6,5,2,3,0,0,0,1,0,1,13,13,3,5,2,0,2,0,1,10,9,1,2,8,0,1,3
5438476523,0,,,50,21,29,8,4,4,42,17,25,14,8,6,41,16,25,41,16,25,28,9,19,22,5,17,18,3,15,4,0,4,0,0,0,13,12,2,5,1,3,1,0,0,10,10,0,2,8,0,2,2
5438476524,0,,,34,19,15,4,2,2,30,17,13,17,12,5,30,17,13,30,17,13,13,5,8,7,3,4,5,2,3,0,0,0,0,0,0,13,13,5,3,2,1,1,0,1,8,5,3,2,9,0,4,1
5438476531,0,,,55,26,29,4,0,4,51,26,25,43,22,21,50,26,24,48,25,23,8,4,4,7,3,4,1,1,0,0,0,0,0,0,0,18,18,2,4,6,4,1,1,0,16,14,2,0,7,0,1,0
5438476532,0,,,39,23,16,8,6,2,31,17,14,24,13,11,31,17,14,31,17,14,7,4,3,5,3,2,2,1,1,0,0,0,0,0,0,14,14,1,6,3,3,1,0,0,13,11,2,2,5,0,1,2
5438476533,0,,,25,12,13,4,1,3,21,11,10,13,6,7,19,11,8,19,11,8,8,5,3,3,1,2,1,0,1,0,0,0,0,0,0,8,8,2,1,1,2,2,0,0,6,4,2,1,6,0,2,1
5438476541,0,,,18,10,8,6,3,3,12,7,5,8,4,4,12,7,5,12,7,5,4,3,1,2,2,0,1,1,0,0,0,0,0,0,0,6,6,1,2,0,2,1,0,0,5,4,1,2,3,0,1,2
5438476542,0,,,41,19,22,9,2,7,32,17,15,23,13,10,31,16,15,30,15,15,9,4,5,4,2,2,0,0,0,0,0,0,0,0,0,14,14,1,6,1,5,1,0,0,12,11,1,3,5,0,0,4
5438476543,0,,,12,8,4,0,0,0,12,8,4,7,5,2,12,8,4,12,8,4,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,1,2,1,0,0,0,4,4,0,0,3,0,0,0
5438476544,0,,,52,25,27,2,1,1,50,24,26,27,16,11,48,22,26,48,22,26,23,8,15,14,6,8,1,0,1,0,0,0,0,0,0,25,25,10,7,5,2,1,0,0,15,13,2,1,18,0,9,4
5438476611,0,,,46,20,26,7,2,5,38,17,21,36,16,20,36,16,20,35,16,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,17,4,4,4,4,0,1,0,13,11,2,2,1,1,0,0
5438476612,0,,,65,37,28,12,9,3,53,28,25,50,28,22,50,25,25,47,23,24,3,0,3,0,0,0,0,0,0,0,0,0,3,2,1,26,26,11,2,5,5,3,0,0,15,13,2,2,3,5,1,0
5438476613,0,,,13,7,6,0,0,0,13,7,6,2,2,0,13,7,6,13,7,6,11,5,6,7,3,4,1,0,1,0,0,0,0,0,0,7,7,2,4,1,0,0,0,0,5,5,0,0,7,0,2,3
5438476614,0,,,87,38,49,21,9,12,66,29,37,50,23,27,63,27,36,61,26,35,16,6,10,8,3,5,3,1,2,0,0,0,0,0,0,24,24,2,5,2,7,7,1,0,22,16,6,0,12,0,1,3
5438476621,0,,,155,65,90,13,6,7,142,59,83,69,33,36,139,57,82,134,56,78,73,26,47,51,16,35,31,7,24,9,1,8,0,0,0,42,41,10,11,9,6,3,2,0,31,28,3,4,18,0,3,5
5438476622,0,,,416,183,233,14,3,11,402,180,222,101,48,53,398,178,220,392,175,217,301,132,169,233,90,143,150,47,103,23,2,21,1,0,1,68,65,17,21,14,13,0,0,0,48,45,3,1,29,0,9,9
5438476623,0,,,251,109,142,26,14,12,221,93,128,110,58,52,213,88,125,212,88,124,111,35,76,84,25,59,49,12,37,11,2,9,0,0,0,71,70,16,22,15,12,4,1,0,52,46,6,0,27,2,6,8
5438476624,0,,,74,33,41,14,6,8,60,27,33,41,19,22,54,24,30,54,24,30,19,8,11,10,3,7,5,2,3,0,0,0,4,1,3,34,34,15,9,4,1,5,0,0,19,17,2,1,14,1,7,4
5438476631,1,,5438476633,43,23,20,8,4,4,43,21,22,29,14,15,41,21,20,40,20,20,14,7,7,9,4,5,3,2,1,0,0,0,0,0,0,16,16,4,5,4,2,2,0,1,14,13,1,3,9,0,3,2
5438476632,0,,,256,133,123,39,19,20,217,114,103,166,91,75,210,110,100,207,107,100,51,23,28,24,9,15,6,3,3,0,0,0,0,0,0,97,97,23,27,22,15,7,3,0,72,61,11,6,33,2,8,9
5438476633,2,5438476631,,8,2,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476634,0,,,246,120,126,36,17,19,209,103,106,154,74,80,199,100,99,196,99,97,55,29,26,26,13,13,8,3,5,1,0,1,2,1,1,103,103,30,31,22,12,8,0,0,71,64,7,11,34,7,6,13
5438476641,0,,,135,65,70,26,15,11,108,49,59,75,35,40,105,48,57,104,48,56,33,14,19,9,4,5,1,0,1,1,0,1,3,2,1,56,56,16,20,6,10,3,1,0,40,36,4,6,23,3,5,9
5438476642,0,,,95,42,53,23,12,11,72,30,42,45,21,24,69,29,40,68,29,39,27,9,18,8,0,8,3,0,3,0,0,0,0,0,0,36,36,6,14,5,10,0,1,0,30,29,1,3,18,0,6,8
5438476643,0,,,140,62,78,18,8,10,121,54,67,90,44,46,115,50,65,112,47,65,31,10,21,21,6,15,11,3,8,1,1,0,2,1,1,60,60,20,15,12,11,2,0,0,40,33,7,9,25,0,10,2
5438476644,0,,,137,67,70,9,3,6,126,63,63,91,46,45,121,61,60,118,59,59,35,17,18,16,7,9,3,1,2,0,0,0,0,0,0,54,54,12,22,7,9,1,2,1,41,37,4,1,25,3,2,7
5438476711,0,,,52,28,24,5,4,1,42,22,20,35,18,17,39,20,19,39,20,19,7,4,3,2,1,1,0,0,0,0,0,0,1,1,0,23,23,4,12,4,3,0,0,0,17,17,0,2,5,1,2,3
5438476712,0,,,45,21,24,10,3,7,33,17,16,30,17,13,32,16,16,32,16,16,3,0,3,1,0,1,0,0,0,0,0,0,3,2,1,19,19,6,4,5,4,0,0,0,13,12,1,0,3,2,0,0
5438476713,0,,,60,32,28,12,6,6,47,25,22,42,21,21,47,25,22,47,25,22,5,4,1,1,1,0,0,0,0,0,0,0,1,0,1,27,27,9,9,3,6,0,0,0,18,18,0,6,4,3,3,0
5438476731,0,,,63,31,32,16,8,8,47,23,24,43,22,21,44,20,24,43,19,24,4,1,3,2,1,1,1,0,1,0,0,0,0,0,0,24,24,5,8,4,5,2,0,0,18,18,0,7,3,1,0,1
5438476733,0,,,228,100,128,17,9,8,204,90,114,137,60,77,197,89,108,194,87,107,67,30,37,24,13,11,6,3,3,0,0,0,10,1,9,108,108,34,44,16,12,2,0,0,71,64,7,5,47,4,12,18
5438476734,0,,,209,83,126,11,4,7,149,72,77,105,50,55,138,64,74,133,61,72,44,22,22,23,12,11,7,2,5,0,0,0,62,10,52,112,112,70,10,16,12,2,1,1,42,34,8,5,26,14,4,8
5438476811,0,,,93,45,48,14,6,8,79,39,40,54,25,29,79,39,40,77,38,39,25,14,11,7,3,4,4,1,3,0,0,0,0,0,0,35,35,6,14,7,2,6,0,0,28,26,2,3,20,0,5,6
5438476812,0,,,88,50,38,15,11,4,68,36,32,54,31,23,65,34,31,64,34,30,14,5,9,10,5,5,2,1,1,0,0,0,0,0,0,45,45,25,8,4,6,1,1,0,19,17,2,5,10,5,5,3
5438476813,0,,,46,22,24,2,2,0,44,20,24,34,15,19,42,19,23,40,19,21,10,5,5,3,2,1,0,0,0,0,0,0,0,0,0,22,22,9,6,4,2,1,0,0,12,9,3,0,8,2,2,2
5438476814,0,,,112,54,58,14,8,6,96,45,51,74,34,40,90,44,46,88,43,45,22,11,11,11,5,6,5,3,2,0,0,0,0,0,0,37,37,5,9,9,9,4,1,0,32,30,2,7,14,0,3,4
5438476821,1,,5438476824,69,35,34,10,7,3,66,31,35,44,22,22,65,31,34,63,31,32,22,9,13,11,4,7,2,0,2,0,0,0,0,0,0,26,26,5,10,6,3,3,1,0,23,19,4,2,15,0,4,3
5438476822,0,,,61,30,31,5,4,1,56,26,30,23,12,11,55,25,30,53,24,29,33,14,19,18,7,11,4,2,2,0,0,0,0,0,0,26,26,7,10,3,5,1,0,0,19,16,3,0,21,0,6,7
5438476823,0,,,164,86,78,41,27,14,123,59,64,87,41,46,119,58,61,118,57,61,36,18,18,16,7,9,4,1,3,0,0,0,2,1,1,56,56,12,15,6,15,5,2,1,44,39,5,9,23,1,9,8
5438476824,2,5438476821,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476831,0,,,26,16,10,4,4,0,22,12,10,12,7,5,21,11,10,20,10,10,10,5,5,5,3,2,0,0,0,0,0,0,0,0,0,9,9,0,4,2,3,0,0,0,8,8,0,1,5,0,0,4
5438476832,0,,,23,11,12,0,0,0,23,11,12,15,8,7,23,11,12,23,11,12,8,3,5,6,3,3,1,0,1,0,0,0,0,0,0,8,8,1,3,2,1,0,1,0,7,6,1,0,5,0,1,2
5438476833,2,5438476834,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476834,1,,5438476833,29,16,13,4,3,1,26,14,12,14,9,5,26,14,12,25,13,12,12,5,7,4,1,3,1,0,1,0,0,0,0,0,0,14,14,7,3,3,2,0,0,0,8,7,1,1,10,1,5,2
5438476841,0,,,70,37,33,12,8,4,58,29,29,38,20,18,58,29,29,56,27,29,20,9,11,9,3,6,3,0,3,0,0,0,0,0,0,27,27,8,5,7,4,3,0,0,19,15,4,4,14,0,4,3
5438476842,0,,,86,42,44,16,7,9,70,35,35,46,23,23,68,34,34,67,33,34,24,12,12,16,9,7,3,2,1,0,0,0,0,0,0,29,29,1,13,4,8,3,0,0,28,24,4,4,15,0,1,5
5438476843,0,,,70,33,37,10,5,5,60,28,32,34,15,19,60,28,32,60,28,32,26,13,13,14,8,6,7,3,4,1,1,0,0,0,0,27,27,6,8,7,3,3,0,0,21,16,5,1,17,0,5,5
5438476844,0,,,117,58,59,23,12,11,94,46,48,66,34,32,88,43,45,84,39,45,28,12,16,18,7,11,2,0,2,1,0,1,0,0,0,36,36,4,10,5,10,4,3,0,32,27,5,5,19,0,4,6
5438476911,0,,,43,22,21,3,2,1,40,20,20,19,10,9,39,19,20,37,19,18,21,10,11,5,3,2,1,1,0,0,0,0,0,0,0,14,14,0,7,4,1,0,1,1,13,9,4,0,12,0,0,4
5438476912,0,,,11,5,6,0,0,0,11,5,6,4,1,3,11,5,6,11,5,6,7,4,3,6,3,3,0,0,0,0,0,0,0,0,0,4,4,0,2,1,1,0,0,0,4,4,0,0,4,0,0,2
5438476913,2,5438476914,,11,6,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5438476914,1,,5438476913,54,31,23,14,10,4,48,25,23,31,16,15,48,25,23,48,25,23,17,9,8,4,2,2,1,1,0,0,0,0,0,0,0,19,19,2,6,6,7,1,0,0,19,17,2,0,12,0,2,5
5438476921,0,,,77,36,41,17,5,12,60,31,29,41,24,17,60,31,29,59,31,28,19,7,12,5,2,3,3,1,2,0,0,0,1,0,1,26,26,2,7,9,6,2,0,0,24,23,1,5,12,0,1,3
5438476922,0,,,398,195,203,52,25,27,344,170,174,235,120,115,328,161,167,320,155,165,109,50,59,50,26,24,14,7,7,1,1,0,5,4,1,167,167,42,60,33,24,7,1,0,120,112,8,8,73,8,15,32
5438476923,0,,,39,21,18,6,4,2,33,17,16,19,11,8,32,16,16,32,16,16,14,6,8,4,1,3,0,0,0,0,0,0,0,0,0,16,16,2,8,4,1,1,0,0,13,13,0,2,10,0,2,2
5438476924,0,,,222,106,116,22,10,12,199,96,103,122,64,58,196,94,102,192,92,100,77,32,45,35,17,18,7,3,4,0,0,0,1,0,1,95,95,18,37,31,8,1,0,0,76,71,5,7,51,1,11,18
5438476931,0,,,46,21,25,11,3,8,35,18,17,29,16,13,34,18,16,33,17,16,6,2,4,4,2,2,0,0,0,0,0,0,0,0,0,15,15,0,4,6,5,0,0,0,15,14,1,1,3,0,0,0
5438476932,0,,,93,45,48,30,11,19,63,34,29,55,30,25,61,34,27,61,34,27,8,4,4,5,2,3,2,2,0,0,0,0,0,0,0,27,27,1,4,10,7,4,1,0,26,25,1,13,6,0,1,1
5438476933,0,,,60,32,28,16,9,7,44,23,21,29,15,14,43,22,21,43,22,21,15,8,7,7,4,3,1,0,1,0,0,0,1,0,1,20,20,2,6,5,4,3,0,0,18,15,3,7,9,1,1,5
5438476934,0,,,201,102,99,47,31,16,152,70,82,120,59,61,143,67,76,137,63,74,32,11,21,16,6,10,5,2,3,1,0,1,7,5,2,67,67,11,17,10,21,6,2,0,55,50,5,7,21,0,5,7
5438476941,0,,,88,40,48,14,8,6,73,32,41,40,17,23,72,32,40,70,31,39,33,15,18,19,7,12,1,0,1,0,0,0,0,0,0,37,37,12,11,6,6,1,0,1,25,19,6,5,24,1,7,7
5438476942,0,,,218,101,117,30,11,19,188,90,98,151,75,76,179,88,91,173,84,89,37,15,22,15,7,8,1,0,1,0,0,0,3,3,0,93,93,31,25,18,12,7,0,0,62,58,4,7,29,5,9,9
5438476943,0,,,185,96,89,23,14,9,162,82,80,107,55,52,158,80,78,154,79,75,55,27,28,32,13,19,7,2,5,0,0,0,0,0,0,74,74,16,24,22,6,5,1,0,57,53,4,8,34,0,7,12
5438476944,0,,,213,110,103,32,17,15,176,90,86,124,66,58,172,88,84,170,87,83,52,24,28,23,11,12,10,4,6,1,0,1,2,2,0,88,88,30,18,20,15,3,2,0,57,50,7,14,33,8,10,9
5438477011,1,,5438477013;5438477021,19,9,10,7,3,4,27,15,12,20,12,8,26,14,12,26,14,12,7,3,4,2,0,2,0,0,0,0,0,0,0,0,0,6,6,0,3,5,2,1,0,0,11,11,0,3,4,0,0,0
5438477013,2,5438477011,,6,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
